,time,lat,lon,pressure,temperature,salinity,doxy,chla,bbp700
569,2019-05-06 01:51:47.999986,17.567539,68.389618,1049.21,8.34611,35.340046,10.213184,0.0792,0.00042093528
595,2019-05-06 01:51:47.999986,17.567539,68.389618,1099.59,7.9645076,35.299694,13.539017,0.1152,0.00044585095
620,2019-05-06 01:51:47.999986,17.567539,68.389618,1146.64,7.590109,35.258076,17.299057,0.0936,0.0006104702
647,2019-05-06 01:51:47.999986,17.567539,68.389618,1199.52,7.223495,35.217476,21.617222,0.0936,0.0006226784
673,2019-05-06 01:51:47.999986,17.567539,68.389618,1249.7,6.898961,35.185734,25.492476,0.0936,0.0005841248
697,2019-05-06 01:51:47.999986,17.567539,68.389618,1294.6,6.662696,35.164936,27.444897,0.0936,0.00044408804
725,2019-05-06 01:51:47.999986,17.567539,68.389618,1349.58,6.358377,35.136517,32.248013,0.0792,0.000405548
750,2019-05-06 01:51:47.999986,17.567539,68.389618,1396.68,6.0178733,35.102257,37.501827,0.0936,0.00067174406
802,2019-05-06 01:51:47.999986,17.567539,68.389618,1499.32,5.3007164,35.029724,53.498848,0.0864,0.00044205174
853,2019-05-06 01:51:47.999986,17.567539,68.389618,1598.6,4.7848315,34.981827,65.75285,0.0864,0.00045393003
904,2019-05-06 01:51:47.999986,17.567539,68.389618,1699.82,4.197657,34.929886,81.94007,0.0936,0.0004021498
955,2019-05-06 01:51:47.999986,17.567539,68.389618,1799.64,3.724994,34.886955,95.19185,0.0936,0.00036323213
1006,2019-05-06 01:51:47.999986,17.567539,68.389618,1899.4,3.4002762,34.858795,106.22173,0.0864,0.00037535673
1053,2019-05-06 01:51:47.999986,17.567539,68.389618,1994.69,3.0876,34.8347,114.776794,0.0936,0.0003620847
1059,2019-05-16 00:55:10.999985,17.896587,68.381401,6.05,29.566044,36.828396,228.01158,0.0864,0.00088806363
1063,2019-05-16 00:55:10.999985,17.896587,68.381401,13.5,29.567478,36.82835,227.79929,0.0792,0.0008880645
1067,2019-05-16 00:55:10.999985,17.896587,68.381401,19.15,29.567558,36.82776,228.0382,0.0936,0.0009261662
1071,2019-05-16 00:55:10.999985,17.896587,68.381401,24.82,29.556328,36.82557,229.62079,0.0936,0.00090076827
1074,2019-05-16 00:55:10.999985,17.896587,68.381401,28.89,29.205824,36.754456,233.78076,0.1152,0.00090098975
1077,2019-05-16 00:55:10.999985,17.896587,68.381401,33.41,28.945171,36.758827,234.36815,0.2016,0.00095178594
1081,2019-05-16 00:55:10.999985,17.896587,68.381401,39.74,28.560024,36.741093,237.34904,0.1728,0.0010026572
1085,2019-05-16 00:55:10.999985,17.896587,68.381401,44.55,27.84048,36.628017,236.98561,0.216,0.0009141285
1088,2019-05-16 00:55:10.999985,17.896587,68.381401,49.21,27.11124,36.54272,233.94315,0.288,0.00093964726
1094,2019-05-16 00:55:10.999985,17.896587,68.381401,59.74,26.520172,36.527702,215.84029,0.6264,0.0010158508
1100,2019-05-16 00:55:10.999985,17.896587,68.381401,68.77,26.084526,36.519657,190.51804,1.404,0.0016127196
1105,2019-05-16 00:55:10.999985,17.896587,68.381401,77.64,25.512604,36.473076,174.07599,0.5832,0.001003197
1112,2019-05-16 00:55:10.999985,17.896587,68.381401,89.74,25.176012,36.517735,154.51007,0.3528,0.00072363904
1118,2019-05-16 00:55:10.999985,17.896587,68.381401,99.26,24.554148,36.41153,124.21696,0.1512,0.0006094667
1124,2019-05-16 00:55:10.999985,17.896587,68.381401,109.45,23.7463,36.28145,106.05765,0.1008,0.00044446305
1129,2019-05-16 00:55:10.999985,17.896587,68.381401,117.3,23.744585,36.462852,133.86035,0.0504,0.00041862502
1135,2019-05-16 00:55:10.999985,17.896587,68.381401,127.95,22.803303,36.28832,74.86082,0.0504,0.00031720137
1142,2019-05-16 00:55:10.999985,17.896587,68.381401,139.65,21.907259,36.139286,43.813694,0.0504,0.00030451576
1148,2019-05-16 00:55:10.999985,17.896587,68.381401,149.06,20.977036,35.997753,20.095352,0.0504,0.00046952878
